"Date","Price","Change_Price","Change_Percent","Prev_Close","Open","VWAP","Intraday_Low","Intraday_High"
2021-11-22 13:26:00,2388.45,-10.9500000000003,-0.456364091022767,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:27:00,2389.65,-9.75,-0.406351587896974,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:28:00,2389.55,-9.84999999999991,-0.410519296490786,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:29:00,2389.2,-10.2000000000003,-0.425106276569154,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:30:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:31:00,2388.9,-10.5,-0.437609402350588,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:32:00,2389.2,-10.2000000000003,-0.425106276569154,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:33:00,2388.85,-10.5500000000002,-0.439693256647503,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:34:00,2388.6,-10.8000000000002,-0.450112528132041,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:35:00,2388.75,-10.6500000000001,-0.443860965241314,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:36:00,2388.85,-10.5500000000002,-0.439693256647503,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:37:00,2389.5,-9.90000000000009,-0.412603150787701,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:38:00,2389.5,-9.90000000000009,-0.412603150787701,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:39:00,2389.2,-10.2000000000003,-0.425106276569154,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:40:00,2390.5,-8.90000000000009,-0.370926064849549,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:41:00,2388.9,-10.5,-0.437609402350588,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:42:00,2388.8,-10.5999999999999,-0.441777110944399,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:43:00,2388.5,-10.9000000000001,-0.454280236725852,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:44:00,2388.05,-11.3499999999999,-0.473034925398012,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:45:00,2388.6,-10.8000000000002,-0.450112528132041,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:46:00,2389.45,-9.95000000000027,-0.414687005084616,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:47:00,2390.1,-9.30000000000018,-0.387596899224814,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:48:00,2389.85,-9.55000000000018,-0.398016170709352,2399.4,2409.4,2388.68,2377.15,2409.9
2021-11-22 13:49:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.69,2377.15,2409.9
2021-11-22 13:50:00,2389.35,-10.0500000000002,-0.418854713678427,2399.4,2409.4,2388.69,2377.15,2409.9
2021-11-22 13:51:00,2390.85,-8.55000000000018,-0.3563390847712,2399.4,2409.4,2388.7,2377.15,2409.9
2021-11-22 13:52:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.7,2377.15,2409.9
2021-11-22 13:53:00,2390.45,-8.95000000000027,-0.373009919146465,2399.4,2409.4,2388.7,2377.15,2409.9
2021-11-22 13:54:00,2389.85,-9.55000000000018,-0.398016170709352,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 13:55:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 13:56:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 13:57:00,2389.05,-10.3499999999999,-0.431357839459861,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 13:58:00,2389.05,-10.3499999999999,-0.431357839459861,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 13:59:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:00:00,2389.55,-9.84999999999991,-0.410519296490786,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:02:00,2389.45,-9.95000000000027,-0.414687005084616,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:03:00,2389.2,-10.2000000000003,-0.425106276569154,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:04:00,2389.55,-9.84999999999991,-0.410519296490786,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:05:00,2388,-11.4000000000001,-0.475118779694928,2399.4,2409.4,2388.72,2377.15,2409.9
