"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"PFE","Pfizer Inc.","2021-09-07 19:45:00",46.7,46.74,46.7,46.7,12366
"XOM","Exxon Mobil Corporation","2021-09-09 10:00:00",54,54.39,53.905,54.39,1106265
"MCD","McDonald's Corporation","2021-08-18 14:15:00",239.23,239.63,238.96,239.04,38044
"GE","General Electric Company","2021-08-18 11:15:00",103.15,103.38,103.09,103.19,189043
"ORCL","Oracle Corporation","2021-08-25 11:00:00",88.27,88.51,88.245,88.5,180687
"XOM","Exxon Mobil Corporation","2021-09-08 15:00:00",54.31,54.33,54.24,54.315,251789
"GOOG","Google Inc.","2021-08-18 11:45:00",2757.75,2759.14,2754.75,2758.57,17785
"GS","Goldman Sachs Group, Inc.","2021-09-03 13:00:00",411.46,411.49,411.16,411.16,15288
"MSFT","Microsoft Corporation","2021-08-20 12:45:00",304.67,305.0999,304.26,304.465,816222
"AAPL","Apple Computer, Inc.","2021-09-01 10:30:00",154.61,154.79,154.42,154.69,3315264
"INTC","Intel Corporation","2021-09-13 17:15:00",55.02,55.03,55.01,55.01,101183
"XOM","Exxon Mobil Corporation","2021-08-30 04:15:00",55.98,55.98,55.8,55.8,525
"GS","Goldman Sachs Group, Inc.","2021-08-30 12:45:00",416.31,416.65,415.76,415.88,33629
"GS","Goldman Sachs Group, Inc.","2021-08-20 08:45:00",392.55,393.2,392.1,393.2,1742
"DELL","Dell Inc.","2021-09-09 11:45:00",95.725,95.82,95.65,95.77,37854
"AXP","American Express Company","2021-08-24 14:00:00",161.44,161.45,161.32,161.43,36505
"ORCL","Oracle Corporation","2021-08-25 14:45:00",88.4722,88.52,88.39,88.515,122001
"GOOG","Google Inc.","2021-08-27 13:45:00",2895.8401,2899.59,2894.85,2894.85,31798
"AAPL","Apple Computer, Inc.","2021-08-25 11:45:00",148.5,148.548,148.17,148.341,1613476
"XOM","Exxon Mobil Corporation","2021-08-25 10:15:00",55.4,55.47,55.25,55.35,402911
"JPM","J.P. Morgan Chase & Co.","2021-09-01 17:30:00",159.72,159.72,159.72,159.72,101
"BCS","Barclays Plc","2021-08-18 16:15:00",10.05,10.05,10.05,10.05,19923
"HPQ","Hewlett-Packard Company","2021-08-26 15:15:00",29,29.05,28.96,29.025,627638
"XOM","Exxon Mobil Corporation","2021-09-14 06:45:00",55.63,55.63,55.62,55.63,823
"CSCO","Cisco Systems Inc","2021-09-08 10:00:00",58.87,58.91,58.72,58.805,496917
"NOK","Nokia Corporation","2021-09-01 17:30:00",5.97,5.98,5.96,5.98,10269
"INTC","Intel Corporation","2021-09-01 11:45:00",53.98,54.0357,53.8901,53.9062,389214
"GE","General Electric Company","2021-08-26 12:30:00",103.24,103.37,103.2,103.37,144824
"JNJ","Johnson & Johnson","2021-08-31 14:45:00",172.775,172.775,172.6,172.65,80807
"JNJ","Johnson & Johnson","2021-09-09 13:45:00",169.01,169.01,168.7,168.7,179842
"JPM","J.P. Morgan Chase & Co.","2021-09-01 15:45:00",159.54,159.72,159.45,159.61,317044
"ADBE","Adobe Systems","2021-08-19 12:00:00",637.35,639.38,637.35,639.355,73708
"AMZN","Amazon.com Inc.","2021-09-13 11:30:00",3458.02,3466.219,3453.94,3461.25,56211
"BAC","Bank of America Corporation","2021-09-07 18:30:00",41.34,41.3601,41.34,41.3601,1105
"GOOG","Google Inc.","2021-09-13 09:15:00",2854.899,2856.5,2854.899,2856.5,533
"WIT","Wipro Limited","2021-09-14 10:45:00",9.575,9.58,9.56,9.565,20164
"TM","Toyota Motor Corporation","2021-08-24 10:15:00",171.22,171.5,171.22,171.46,12287
"BCS","Barclays Plc","2021-08-20 13:30:00",9.93,9.94,9.925,9.935,92823
"XOM","Exxon Mobil Corporation","2021-09-01 15:15:00",53.69,53.7661,53.635,53.675,532791
"GE","General Electric Company","2021-09-07 10:45:00",103.215,103.22,102.665,102.98,779646
"NOK","Nokia Corporation","2021-09-13 17:15:00",5.75,5.75,5.74,5.75,1581
"CSCO","Cisco Systems Inc","2021-09-03 13:45:00",59.505,59.51,59.46,59.47,178859
"GOOG","Google Inc.","2021-09-02 14:15:00",2899.185,2899.185,2894.62,2896.16,24809
"BCS","Barclays Plc","2021-09-09 12:00:00",10.1999,10.21,10.19,10.21,28621
"ORCL","Oracle Corporation","2021-08-25 11:15:00",88.495,88.55,88.37,88.43,165095
"WIT","Wipro Limited","2021-08-25 11:30:00",9.0658,9.09,9.06,9.09,101448
